tracker_1_WXYZ,tracker_2_WXYZ
"0.4157,-0.7307,-0.0104,0.5415","0.1138,-0.7198,-0.0592,0.6822"
"0.4139,-0.7363,-0.0081,0.5353","0.1137,-0.7198,-0.0596,0.6822"
"0.4141,-0.7376,-0.0066,0.5333","0.1132,-0.7203,-0.0607,0.6817"
"0.4154,-0.7374,-0.0051,0.5326","0.1135,-0.7207,-0.0607,0.6812"
"0.4178,-0.7346,-0.0041,0.5346","0.1140,-0.7213,-0.0606,0.6805"
"0.4222,-0.7295,-0.0022,0.5382","0.1158,-0.7220,-0.0608,0.6795"
"0.4293,-0.7209,0.0006,0.5441","0.1191,-0.7224,-0.0613,0.6784"
"0.4319,-0.7164,0.0011,0.5479","0.1227,-0.7233,-0.0603,0.6768"
"0.4352,-0.7075,-0.0009,0.5568","0.1249,-0.7240,-0.0599,0.6758"
"0.4451,-0.6926,0.0010,0.5677","0.1326,-0.7265,-0.0586,0.6717"
"0.4570,-0.6715,0.0018,0.5833","0.1407,-0.7292,-0.0548,0.6675"
"0.4610,-0.6513,-0.0080,0.6027","0.1455,-0.7309,-0.0519,0.6647"
"0.4626,-0.6412,-0.0137,0.6121","0.1543,-0.7353,-0.0469,0.6582"
"0.4697,-0.6183,-0.0210,0.6298","0.1619,-0.7408,-0.0417,0.6506"
"0.4771,-0.5932,-0.0297,0.6477","0.1701,-0.7467,-0.0357,0.6420"
"0.4816,-0.5672,-0.0445,0.6666","0.1784,-0.7540,-0.0289,0.6315"
"0.4886,-0.5240,-0.0657,0.6945","0.1824,-0.7579,-0.0254,0.6259"
"0.4934,-0.4922,-0.0805,0.7126","0.1852,-0.7621,-0.0235,0.6200"
"0.4964,-0.4594,-0.0996,0.7298","0.1880,-0.7662,-0.0215,0.6141"
"0.5005,-0.4234,-0.1156,0.7462","0.1960,-0.7821,-0.0170,0.5913"
"0.5055,-0.3842,-0.1280,0.7618","0.2028,-0.7937,-0.0123,0.5734"
"0.5082,-0.3637,-0.1336,0.7692","0.2052,-0.8013,-0.0106,0.5618"
"0.5130,-0.3211,-0.1441,0.7829","0.2090,-0.8072,-0.0079,0.5520"
"0.5185,-0.2773,-0.1531,0.7942","0.2120,-0.8109,-0.0058,0.5454"
"0.5233,-0.2327,-0.1599,0.8040","0.2143,-0.8132,-0.0039,0.5411"
"0.5257,-0.1876,-0.1665,0.8128","0.2157,-0.8139,-0.0029,0.5395"
"0.5264,-0.1657,-0.1703,0.8163","0.2177,-0.8144,-0.0016,0.5380"
"0.5269,-0.1232,-0.1786,0.8217","0.2197,-0.8149,-0.0002,0.5364"
"0.5265,-0.0833,-0.1887,0.8248","0.2231,-0.8202,0.0052,0.5268"
"0.5254,-0.0449,-0.1970,0.8265","0.2265,-0.8281,0.0122,0.5126"
"0.5235,-0.0088,-0.2074,0.8263","0.2275,-0.8313,0.0147,0.5070"
"0.5225,0.0087,-0.2121,0.8258","0.2293,-0.8389,0.0199,0.4932"
"0.5198,0.0416,-0.2194,0.8246","0.2318,-0.8477,0.0253,0.4764"
"0.5174,0.0721,-0.2253,0.8224","0.2354,-0.8555,0.0297,0.4603"
"0.5142,0.1003,-0.2303,0.8200","0.2371,-0.8583,0.0315,0.4539"
"0.5113,0.1258,-0.2388,0.8159","0.2413,-0.8604,0.0335,0.4476"
"0.5095,0.1384,-0.2421,0.8140","0.2447,-0.8592,0.0342,0.4480"
"0.5049,0.1633,-0.2465,0.8110","0.2456,-0.8569,0.0328,0.4520"
"0.5008,0.1861,-0.2540,0.8062","0.2453,-0.8533,0.0290,0.4592"
"0.4963,0.2077,-0.2602,0.8017","0.2448,-0.8511,0.0266,0.4638"
"0.4915,0.2281,-0.2664,0.7972","0.2443,-0.8487,0.0241,0.4684"
"0.4895,0.2374,-0.2710,0.7941","0.2438,-0.8464,0.0219,0.4730"
"0.4851,0.2564,-0.2773,0.7887","0.2416,-0.8419,0.0188,0.4821"
"0.4806,0.2757,-0.2827,0.7830","0.2391,-0.8373,0.0164,0.4913"
"0.4776,0.2940,-0.2918,0.7748","0.2373,-0.8318,0.0122,0.5017"
"0.4758,0.3102,-0.2998,0.7665","0.2339,-0.8263,0.0075,0.5124"
"0.4750,0.3168,-0.3017,0.7636","0.2318,-0.8210,0.0023,0.5217"
"0.4752,0.3240,-0.3074,0.7581","0.2276,-0.8200,-0.0001,0.5251"
"0.4766,0.3237,-0.3128,0.7551","0.2233,-0.8188,-0.0034,0.5288"
"0.4765,0.3193,-0.3099,0.7582","0.2219,-0.8133,-0.0052,0.5378"
"0.4775,0.3104,-0.3072,0.7625","0.2202,-0.8093,-0.0068,0.5445"
"0.4785,0.3044,-0.3062,0.7646","0.2145,-0.8015,-0.0118,0.5580"
"0.4806,0.2906,-0.3015,0.7705","0.2091,-0.7940,-0.0161,0.5706"
"0.4840,0.2740,-0.2945,0.7771","0.2043,-0.7854,-0.0187,0.5840"
"0.4971,0.2262,-0.2840,0.7881","0.1911,-0.7742,-0.0272,0.6028"
"0.5005,0.2125,-0.2798,0.7912","0.1855,-0.7672,-0.0286,0.6134"
"0.5065,0.1824,-0.2717,0.7977","0.1806,-0.7610,-0.0300,0.6224"
"0.5190,0.1098,-0.2595,0.8070","0.1733,-0.7555,-0.0343,0.6309"
"0.5227,0.0718,-0.2450,0.8134","0.1675,-0.7509,-0.0367,0.6378"
"0.5247,0.0514,-0.2426,0.8143","0.1660,-0.7486,-0.0369,0.6408"
"0.5282,0.0103,-0.2377,0.8151","0.1615,-0.7452,-0.0390,0.6458"
"0.5293,-0.0287,-0.2273,0.8169","0.1596,-0.7425,-0.0392,0.6494"
"0.5296,-0.0705,-0.2311,0.8131","0.1601,-0.7391,-0.0380,0.6532"
"0.5294,-0.1117,-0.2296,0.8091","0.1590,-0.7379,-0.0385,0.6547"
"0.5292,-0.1302,-0.2222,0.8085","0.1549,-0.7364,-0.0409,0.6573"
"0.5281,-0.1676,-0.2141,0.8045","0.1502,-0.7334,-0.0390,0.6618"
"0.5258,-0.2057,-0.2097,0.7983","0.1473,-0.7319,-0.0388,0.6642"
"0.5241,-0.2412,-0.1986,0.7923","0.1461,-0.7298,-0.0379,0.6668"
"0.5213,-0.2775,-0.1894,0.7844","0.1452,-0.7289,-0.0380,0.6680"
"0.5197,-0.2964,-0.1861,0.7794","0.1433,-0.7281,-0.0386,0.6692"
"0.5165,-0.3315,-0.1751,0.7699","0.1353,-0.7271,-0.0420,0.6717"
"0.5114,-0.3645,-0.1667,0.7602","0.1310,-0.7267,-0.0440,0.6729"
"0.5015,-0.3986,-0.1665,0.7496","0.1287,-0.7259,-0.0453,0.6741"
"0.4906,-0.4315,-0.1639,0.7391","0.1274,-0.7256,-0.0459,0.6747"
"0.4868,-0.4465,-0.1585,0.7338","0.1260,-0.7245,-0.0463,0.6761"
"0.4821,-0.4743,-0.1433,0.7225","0.1254,-0.7240,-0.0465,0.6767"
"0.4770,-0.5020,-0.1313,0.7093","0.1252,-0.7236,-0.0466,0.6772"
"0.4723,-0.5288,-0.1176,0.6954","0.1250,-0.7233,-0.0470,0.6775"
"0.4668,-0.5549,-0.1035,0.6808","0.1243,-0.7230,-0.0478,0.6779"
"0.4637,-0.5678,-0.0968,0.6732","0.1233,-0.7229,-0.0489,0.6781"
"0.4574,-0.5931,-0.0838,0.6573","0.1213,-0.7215,-0.0518,0.6797"
"0.4511,-0.6164,-0.0719,0.6414","0.1206,-0.7207,-0.0531,0.6806"
"0.4452,-0.6370,-0.0615,0.6263","0.1188,-0.7177,-0.0576,0.6837"
"0.4384,-0.6561,-0.0535,0.6119","0.1192,-0.7175,-0.0581,0.6839"
"0.4348,-0.6651,-0.0498,0.6051","0.1209,-0.7173,-0.0580,0.6837"
"0.4283,-0.6817,-0.0426,0.5916","0.1237,-0.7178,-0.0566,0.6829"
"0.4237,-0.6961,-0.0352,0.5785","0.1276,-0.7188,-0.0543,0.6812"
"0.4192,-0.7082,-0.0296,0.5673","0.1336,-0.7212,-0.0498,0.6779"
"0.4123,-0.7191,-0.0281,0.5587","0.1373,-0.7227,-0.0467,0.6757"
"0.4094,-0.7239,-0.0274,0.5546","0.1443,-0.7258,-0.0406,0.6713"
"0.4062,-0.7314,-0.0247,0.5472","0.1470,-0.7270,-0.0380,0.6696"
"0.4030,-0.7378,-0.0228,0.5411","0.1494,-0.7280,-0.0355,0.6681"
"0.3994,-0.7434,-0.0227,0.5360","0.1530,-0.7290,-0.0335,0.6664"
"0.4006,-0.7456,-0.0200,0.5322","0.1528,-0.7289,-0.0344,0.6665"
"0.4021,-0.7454,-0.0188,0.5314","0.1520,-0.7290,-0.0368,0.6664"
"0.4057,-0.7424,-0.0185,0.5329","0.1524,-0.7293,-0.0369,0.6660"
"0.4113,-0.7356,-0.0194,0.5380","0.1550,-0.7307,-0.0361,0.6639"
"0.4196,-0.7248,-0.0201,0.5460","0.1580,-0.7323,-0.0353,0.6614"
"0.4317,-0.7090,-0.0207,0.5573","0.1595,-0.7333,-0.0350,0.6600"
"0.4391,-0.6990,-0.0210,0.5640","0.1643,-0.7356,-0.0332,0.6563"
"0.4532,-0.6766,-0.0244,0.5799","0.1703,-0.7390,-0.0304,0.6511"
"0.4635,-0.6527,-0.0341,0.5984","0.1737,-0.7410,-0.0287,0.6480"
"0.4712,-0.6290,-0.0472,0.6165","0.1773,-0.7430,-0.0267,0.6448"
"0.4800,-0.6042,-0.0572,0.6335","0.1850,-0.7483,-0.0222,0.6367"
"0.4845,-0.5915,-0.0619,0.6415","0.1913,-0.7541,-0.0190,0.6279"
"0.5041,-0.5337,-0.0802,0.6743","0.1972,-0.7616,-0.0148,0.6171"
"0.5118,-0.5007,-0.0952,0.6915","0.1992,-0.7658,-0.0139,0.6112"
"0.5189,-0.4647,-0.1116,0.7088","0.2044,-0.7749,-0.0096,0.5980"
"0.5225,-0.4453,-0.1192,0.7173","0.2149,-0.7944,0.0017,0.5682"
"0.5292,-0.4046,-0.1351,0.7335","0.2168,-0.7986,0.0035,0.5614"
"0.5355,-0.3617,-0.1493,0.7484","0.2194,-0.8061,0.0070,0.5496"
"0.5406,-0.3175,-0.1626,0.7619","0.2207,-0.8092,0.0085,0.5444"
"0.5444,-0.2727,-0.1742,0.7739","0.2247,-0.8160,0.0129,0.5324"
"0.5458,-0.2503,-0.1795,0.7792","0.2262,-0.8174,0.0136,0.5297"
"0.5478,-0.2057,-0.1895,0.7885","0.2286,-0.8208,0.0182,0.5232"
"0.5493,-0.1156,-0.2049,0.8018","0.2305,-0.8270,0.0242,0.5122"
"0.5483,-0.0496,-0.2168,0.8062","0.2304,-0.8295,0.0263,0.5081"
"0.5466,-0.0085,-0.2253,0.8065","0.2312,-0.8340,0.0304,0.5001"
"0.5442,0.0296,-0.2334,0.8053","0.2311,-0.8438,0.0394,0.4827"
"0.5409,0.0640,-0.2403,0.8035","0.2326,-0.8479,0.0429,0.4745"
"0.5365,0.0957,-0.2443,0.8021","0.2332,-0.8498,0.0444,0.4706"
"0.5342,0.1099,-0.2462,0.8012","0.2342,-0.8515,0.0460,0.4669"
"0.5257,0.1586,-0.2570,0.7952","0.2350,-0.8528,0.0473,0.4639"
"0.5207,0.1805,-0.2590,0.7933","0.2382,-0.8530,0.0508,0.4616"
"0.5168,0.1987,-0.2656,0.7892","0.2385,-0.8490,0.0503,0.4689"
"0.5152,0.2068,-0.2688,0.7871","0.2379,-0.8461,0.0492,0.4745"
"0.5111,0.2222,-0.2719,0.7845","0.2370,-0.8397,0.0463,0.4864"
"0.5078,0.2354,-0.2750,0.7817","0.2369,-0.8333,0.0416,0.4978"
"0.5056,0.2465,-0.2796,0.7781","0.2344,-0.8231,0.0283,0.5165"
"0.5044,0.2555,-0.2848,0.7741","0.2334,-0.8222,0.0257,0.5185"
"0.5034,0.2600,-0.2858,0.7729","0.2317,-0.8206,0.0201,0.5220"
"0.5016,0.2677,-0.2878,0.7707","0.2298,-0.8199,0.0170,0.5242"
"0.5014,0.2718,-0.2919,0.7678","0.2272,-0.8186,0.0132,0.5274"
"0.5027,0.2711,-0.2985,0.7647","0.2224,-0.8126,0.0059,0.5387"
"0.5061,0.2637,-0.3035,0.7630","0.2161,-0.8035,-0.0012,0.5547"
"0.5080,0.2580,-0.3028,0.7640","0.2031,-0.7889,-0.0129,0.5798"
"0.5119,0.2431,-0.2977,0.7683","0.1976,-0.7802,-0.0173,0.5933"
"0.5162,0.2241,-0.2916,0.7734","0.1877,-0.7721,-0.0246,0.6067"
"0.5207,0.2004,-0.2851,0.7794","0.1779,-0.7616,-0.0322,0.6223"
"0.5273,0.1572,-0.2714,0.7896","0.1734,-0.7550,-0.0357,0.6314"
"0.5317,0.1230,-0.2630,0.7956","0.1707,-0.7519,-0.0373,0.6356"
"0.5387,0.0486,-0.2434,0.8051","0.1649,-0.7451,-0.0404,0.6450"
"0.5409,0.0114,-0.2337,0.8079","0.1606,-0.7414,-0.0424,0.6502"
"0.5421,-0.0076,-0.2322,0.8075","0.1583,-0.7400,-0.0434,0.6523"
"0.5438,-0.0410,-0.2193,0.8090","0.1566,-0.7375,-0.0434,0.6555"
"0.5448,-0.0740,-0.2100,0.8085","0.1571,-0.7364,-0.0420,0.6567"
"0.5448,-0.1106,-0.2103,0.8042","0.1574,-0.7354,-0.0407,0.6578"
"0.5442,-0.1437,-0.2003,0.8019","0.1539,-0.7344,-0.0403,0.6598"
"0.5432,-0.1604,-0.1957,0.8005","0.1536,-0.7338,-0.0384,0.6607"
"0.5400,-0.1961,-0.1940,0.7952","0.1528,-0.7328,-0.0364,0.6621"
"0.5363,-0.2303,-0.1892,0.7897","0.1515,-0.7317,-0.0352,0.6636"
"0.5324,-0.2642,-0.1831,0.7831","0.1510,-0.7300,-0.0339,0.6657"
"0.5272,-0.3014,-0.1815,0.7735","0.1468,-0.7283,-0.0350,0.6684"
"0.5253,-0.3188,-0.1757,0.7691","0.1442,-0.7274,-0.0362,0.6699"
"0.5212,-0.3517,-0.1611,0.7607","0.1378,-0.7254,-0.0405,0.6732"
"0.5136,-0.3861,-0.1563,0.7501","0.1308,-0.7235,-0.0458,0.6763"
"0.5059,-0.4179,-0.1490,0.7397","0.1252,-0.7221,-0.0504,0.6785"
"0.4986,-0.4470,-0.1405,0.7293","0.1225,-0.7219,-0.0523,0.6791"
"0.4942,-0.4617,-0.1379,0.7236","0.1209,-0.7218,-0.0533,0.6794"
"0.4866,-0.4899,-0.1286,0.7118","0.1194,-0.7216,-0.0539,0.6798"
"0.4801,-0.5170,-0.1165,0.6991","0.1183,-0.7217,-0.0543,0.6799"
"0.4725,-0.5437,-0.1058,0.6855","0.1175,-0.7209,-0.0552,0.6808"
"0.4649,-0.5702,-0.0956,0.6706","0.1174,-0.7201,-0.0558,0.6816"
"0.4610,-0.5835,-0.0905,0.6625","0.1174,-0.7198,-0.0561,0.6819"
"0.4528,-0.6104,-0.0794,0.6451","0.1176,-0.7193,-0.0568,0.6824"
"0.4435,-0.6371,-0.0680,0.6267","0.1186,-0.7195,-0.0566,0.6819"
"0.4328,-0.6631,-0.0588,0.6079","0.1219,-0.7212,-0.0544,0.6798"
"0.4238,-0.6852,-0.0505,0.5902","0.1250,-0.7226,-0.0518,0.6779"
"0.4198,-0.6948,-0.0465,0.5821","0.1274,-0.7232,-0.0497,0.6769"
"0.4060,-0.7244,-0.0351,0.5561","0.1305,-0.7241,-0.0468,0.6756"
"0.4001,-0.7355,-0.0317,0.5459","0.1374,-0.7268,-0.0401,0.6718"
"0.3967,-0.7442,-0.0280,0.5367","0.1451,-0.7303,-0.0322,0.6668"
"0.3955,-0.7478,-0.0263,0.5327","0.1494,-0.7310,-0.0295,0.6651"
"0.3945,-0.7528,-0.0232,0.5263","0.1507,-0.7308,-0.0300,0.6651"
"0.3982,-0.7540,-0.0184,0.5220","0.1519,-0.7308,-0.0311,0.6647"
"0.4018,-0.7523,-0.0162,0.5219","0.1511,-0.7310,-0.0342,0.6646"
"0.4036,-0.7483,-0.0178,0.5261","0.1514,-0.7312,-0.0349,0.6643"
"0.4057,-0.7449,-0.0184,0.5294","0.1517,-0.7319,-0.0371,0.6632"
"0.4142,-0.7345,-0.0173,0.5373","0.1544,-0.7332,-0.0373,0.6612"
"0.4265,-0.7187,-0.0154,0.5489","0.1566,-0.7338,-0.0370,0.6601"
"0.4414,-0.6977,-0.0146,0.5640","0.1594,-0.7342,-0.0361,0.6589"
"0.4576,-0.6718,-0.0162,0.5823","0.1658,-0.7358,-0.0336,0.6557"
"0.4650,-0.6578,-0.0183,0.5922","0.1689,-0.7370,-0.0321,0.6537"
"0.4777,-0.6293,-0.0252,0.6125","0.1782,-0.7430,-0.0258,0.6446"
"0.4900,-0.5989,-0.0328,0.6326","0.1865,-0.7516,-0.0195,0.6324"
"0.5023,-0.5667,-0.0399,0.6519","0.1935,-0.7589,-0.0139,0.6217"
"0.5132,-0.5329,-0.0494,0.6710","0.1966,-0.7633,-0.0113,0.6152"
"0.5183,-0.5153,-0.0551,0.6803","0.2021,-0.7722,-0.0060,0.6024"
"0.5271,-0.4786,-0.0698,0.6987","0.2086,-0.7809,0.0005,0.5889"
"0.5351,-0.4393,-0.0856,0.7165","0.2149,-0.7908,0.0075,0.5731"
"0.5415,-0.3986,-0.1024,0.7331","0.2170,-0.7959,0.0101,0.5652"
"0.5471,-0.3565,-0.1169,0.7483","0.2191,-0.8004,0.0126,0.5578"
"0.5501,-0.3348,-0.1226,0.7552","0.2213,-0.8048,0.0156,0.5505"
"0.5565,-0.2905,-0.1315,0.7672","0.2257,-0.8123,0.0222,0.5373"
"0.5615,-0.2472,-0.1417,0.7769","0.2293,-0.8190,0.0281,0.5253"
"0.5652,-0.2040,-0.1495,0.7852","0.2319,-0.8206,0.0293,0.5216"
"0.5671,-0.1616,-0.1557,0.7925","0.2352,-0.8222,0.0301,0.5174"
"0.5674,-0.1411,-0.1593,0.7955","0.2362,-0.8242,0.0314,0.5137"
"0.5672,-0.1010,-0.1665,0.8002","0.2399,-0.8325,0.0386,0.4978"
"0.5662,-0.0620,-0.1737,0.8034","0.2405,-0.8394,0.0447,0.4853"
"0.5646,-0.0256,-0.1834,0.8043","0.2418,-0.8461,0.0512,0.4722"
"0.5625,0.0095,-0.1931,0.8039","0.2430,-0.8493,0.0543,0.4655"
"0.5611,0.0270,-0.1972,0.8034","0.2461,-0.8552,0.0599,0.4522"
"0.5578,0.0615,-0.2047,0.8020","0.2497,-0.8590,0.0645,0.4423"
"0.5535,0.0934,-0.2133,0.7996","0.2517,-0.8595,0.0660,0.4400"
"0.5483,0.1223,-0.2220,0.7969","0.2564,-0.8576,0.0661,0.4410"
"0.5419,0.1487,-0.2294,0.7947","0.2609,-0.8526,0.0628,0.4484"
"0.5388,0.1604,-0.2345,0.7930","0.2651,-0.8460,0.0571,0.4590"
"0.5331,0.1821,-0.2477,0.7882","0.2693,-0.8390,0.0508,0.4701"
"0.5267,0.2033,-0.2571,0.7843","0.2700,-0.8304,0.0438,0.4854"
"0.5210,0.2229,-0.2635,0.7807","0.2671,-0.8225,0.0380,0.5007"
"0.5171,0.2404,-0.2694,0.7760","0.2646,-0.8212,0.0380,0.5041"
"0.5145,0.2633,-0.2804,0.7664","0.2512,-0.8151,0.0271,0.5212"
"0.5145,0.2745,-0.2890,0.7592","0.2420,-0.8109,0.0199,0.5324"
"0.5155,0.2797,-0.2967,0.7537","0.2372,-0.8074,0.0167,0.5399"
"0.5188,0.2723,-0.3054,0.7506","0.2320,-0.8039,0.0137,0.5474"
"0.5218,0.2574,-0.3094,0.7522","0.2066,-0.7828,-0.0013,0.5870"
"0.5252,0.2364,-0.3082,0.7572","0.1959,-0.7762,-0.0069,0.5992"
"0.5306,0.2081,-0.3028,0.7638","0.1852,-0.7697,-0.0125,0.6108"
"0.5382,0.1728,-0.2932,0.7710","0.1805,-0.7658,-0.0148,0.6171"
"0.5422,0.1527,-0.2872,0.7748","0.1766,-0.7621,-0.0157,0.6227"
"0.5501,0.1074,-0.2779,0.7801","0.1734,-0.7589,-0.0164,0.6275"
"0.5547,0.0602,-0.2680,0.7854","0.1617,-0.7459,-0.0212,0.6457"
"0.5555,0.0141,-0.2506,0.7928","0.1539,-0.7414,-0.0234,0.6527"
"0.5553,-0.0333,-0.2382,0.7961","0.1507,-0.7393,-0.0242,0.6559"
"0.5549,-0.0577,-0.2332,0.7964","0.1475,-0.7369,-0.0246,0.6592"
"0.5531,-0.1048,-0.2171,0.7975","0.1446,-0.7348,-0.0249,0.6622"
"0.5491,-0.1524,-0.2057,0.7956","0.1395,-0.7312,-0.0258,0.6673"
"0.5443,-0.1998,-0.1997,0.7899","0.1322,-0.7233,-0.0281,0.6772"
"0.5403,-0.2437,-0.1834,0.7843","0.1299,-0.7220,-0.0294,0.6789"
"0.5372,-0.2653,-0.1769,0.7809","0.1257,-0.7200,-0.0324,0.6817"
"0.5296,-0.3077,-0.1700,0.7720","0.1221,-0.7198,-0.0351,0.6824"
"0.5216,-0.3484,-0.1594,0.7624","0.1214,-0.7201,-0.0351,0.6822"
"0.5134,-0.3869,-0.1477,0.7516","0.1240,-0.7218,-0.0320,0.6801"
